"","Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Converted","TotalVisits","Total.Time.Spent.on.Website","Page.Views.Per.Visit","Last.Activity","What.is.your.current.occupation","City","A.free.copy.of.Mastering.The.Interview","Last.Notable.Activity","total_answered"
"3822","623429","API","Organic Search","No","0",4,23,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3823","623427","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3824","623426","Landing Page Submission","Google","No","0",3,366,3,"Page Visited on Website","Unemployed","Mumbai","No","Modified","2"
"3825","623420","Landing Page Submission","Direct Traffic","No","1",3,139,3,"Email Opened","Unemployed","Thane & Outskirts","Yes","Email Opened","3"
"3826","623408","Lead Add Form","Reference","No","0",0,0,0,"Email Opened","Unemployed","Mumbai","No","Modified","3"
"3827","623400","Landing Page Submission","Google","No","0",4,1623,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3828","623398","Landing Page Submission","Direct Traffic","No","1",2,1271,2,"SMS Sent","Unemployed","Thane & Outskirts","No","SMS Sent","4"
"3829","623383","Landing Page Submission","Direct Traffic","No","0",15,415,7.5,"Page Visited on Website","Unemployed","Mumbai","Yes","Modified","1"
"3830","623382","Landing Page Submission","Direct Traffic","No","1",5,185,2.5,"Email Opened","Working Professional","Mumbai","Yes","Email Opened","3"
"3831","623381","Landing Page Submission","Organic Search","No","0",8,164,8,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","1"
"3832","623380","API","Olark Chat","Yes","0",0,0,0,"Email Bounced","Unemployed","Mumbai","No","Modified","0"
"3833","623373","Landing Page Submission","Google","No","0",2,451,2,"Converted to Lead","Unemployed","Mumbai","No","Modified","4"
"3834","623366","Landing Page Submission","Direct Traffic","No","0",4,298,4,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","3"
"3835","623355","Landing Page Submission","Organic Search","No","0",9,1211,3,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","1"
"3836","623349","Landing Page Submission","Google","No","1",6,320,3,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","2"
"3837","623340","API","Google","No","1",4,1014,2,"Page Visited on Website","Working Professional","Mumbai","No","Page Visited on Website","3"
"3838","623332","Lead Add Form","Welingak Website","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3839","623297","API","Google","No","1",2,1277,2,"Email Opened","Unemployed","Mumbai","No","Modified","0"
"3840","623294","API","Organic Search","No","1",9,1310,4.5,"SMS Sent","Unemployed","Other Cities of Maharashtra","No","SMS Sent","2"
"3841","623290","Landing Page Submission","Organic Search","No","1",4,1264,2,"SMS Sent","Unemployed","Tier II Cities","Yes","SMS Sent","3"
"3842","623265","Landing Page Submission","Google","No","1",7,146,3.5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3843","623251","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"3844","623223","Landing Page Submission","Direct Traffic","No","0",2,326,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3845","623213","Landing Page Submission","Direct Traffic","No","0",10,1448,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","3"
"3846","623207","API","Organic Search","No","1",3,99,3,"SMS Sent","Working Professional","Mumbai","No","SMS Sent","3"
"3847","623206","Landing Page Submission","Google","No","0",4,326,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3848","623198","Landing Page Submission","Organic Search","No","1",7,1087,7,"SMS Sent","Unemployed","Other Cities of Maharashtra","No","SMS Sent","3"
"3849","623197","API","Google","No","0",2,47,2,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"3850","623195","Landing Page Submission","Google","No","0",4,239,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3851","623183","API","Olark Chat","No","0",0,0,0,"SMS Sent","Unemployed","Thane & Outskirts","No","SMS Sent","0"
"3852","623167","Landing Page Submission","Google","No","1",5,1455,5,"Olark Chat Conversation","Working Professional","Other Cities of Maharashtra","Yes","Olark Chat Conversation","3"
"3853","623161","Landing Page Submission","Google","No","1",5,987,2.5,"Email Opened","Unemployed","Other Metro Cities","No","Email Opened","4"
"3854","623158","Landing Page Submission","Direct Traffic","No","0",2,334,2,"Email Opened","Unemployed","Other Metro Cities","No","Email Opened","4"
"3855","623138","Landing Page Submission","Direct Traffic","No","1",2,528,2,"SMS Sent","Unemployed","Thane & Outskirts","Yes","SMS Sent","3"
"3856","623134","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","0"
"3857","623130","Landing Page Submission","Direct Traffic","No","0",1,773,1,"Converted to Lead","Unemployed","Mumbai","Yes","Modified","1"
"3858","623118","Landing Page Submission","Direct Traffic","No","0",4,190,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3859","623114","API","Olark Chat","No","0",0,0,0,"Email Opened","Working Professional","Mumbai","No","Email Opened","3"
"3860","623101","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3861","623095","Landing Page Submission","Google","No","0",4,34,4,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","2"
"3862","623093","Landing Page Submission","Direct Traffic","No","0",2,1236,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3863","623088","API","Google","No","0",2,91,1,"Email Opened","Unemployed","Mumbai","No","Email Opened","0"
"3864","623084","Landing Page Submission","Google","No","0",8,310,2.67,"Page Visited on Website","Unemployed","Thane & Outskirts","Yes","Page Visited on Website","4"
"3865","623078","Landing Page Submission","Organic Search","No","0",4,645,4,"Email Opened","Unemployed","Other Cities","Yes","Modified","1"
"3866","623064","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3867","623056","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3868","623030","API","Olark Chat","No","0",0,0,0,"Email Link Clicked","Unemployed","Mumbai","No","Modified","0"
"3869","622997","Landing Page Submission","Direct Traffic","No","0",1,49,1,"Converted to Lead","Unemployed","Mumbai","Yes","Modified","3"
"3870","622995","Landing Page Submission","Direct Traffic","No","0",2,79,2,"Email Opened","Student","Mumbai","Yes","Email Opened","3"
"3871","622950","Landing Page Submission","Direct Traffic","No","1",8,598,2,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","4"
"3872","622916","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3873","622914","Landing Page Submission","Direct Traffic","No","0",4,492,4,"Page Visited on Website","Unemployed","Other Metro Cities","Yes","Modified","3"
"3874","622875","Landing Page Submission","Direct Traffic","No","0",2,160,2,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"3875","622866","API","Google","No","0",2,191,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3876","622859","Landing Page Submission","Direct Traffic","No","1",7,1576,7,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3877","622851","API","Olark Chat","No","0",0,0,0,"SMS Sent","Unemployed","Thane & Outskirts","No","SMS Sent","2"
"3878","622840","Landing Page Submission","Direct Traffic","No","0",1,273,1,"Converted to Lead","Unemployed","Mumbai","Yes","Modified","3"
"3879","622839","Landing Page Submission","Direct Traffic","No","1",9,351,1.8,"Email Link Clicked","Unemployed","Thane & Outskirts","Yes","Email Link Clicked","3"
"3880","622838","Landing Page Submission","Direct Traffic","No","0",2,387,2,"Email Opened","Unemployed","Mumbai","Yes","Modified","1"
"3881","622831","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3882","622822","Landing Page Submission","Google","No","1",3,130,3,"SMS Sent","Working Professional","Other Cities","No","SMS Sent","4"
"3883","622783","Landing Page Submission","Direct Traffic","No","0",7,255,2.33,"Page Visited on Website","Unemployed","Mumbai","Yes","Page Visited on Website","3"
"3884","622773","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Other Metro Cities","No","Olark Chat Conversation","0"
"3885","622747","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3886","622730","Landing Page Submission","Direct Traffic","No","0",3,1625,3,"Converted to Lead","Unemployed","Other Cities of Maharashtra","Yes","Modified","3"
"3887","622727","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3888","622726","API","Google","No","0",2,344,2,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","0"
"3889","622713","Landing Page Submission","Google","No","0",5,88,5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3890","622705","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"3891","622701","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3892","622698","Landing Page Submission","Google","No","0",5,406,5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3893","622684","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3894","622658","Landing Page Submission","Direct Traffic","No","1",2,1366,2,"Email Opened","Working Professional","Thane & Outskirts","Yes","Email Opened","3"
"3895","622655","Landing Page Submission","Google","No","0",2,45,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3896","622653","API","Google","No","1",3,886,1.5,"Page Visited on Website","Unemployed","Mumbai","No","Modified","0"
"3897","622643","Landing Page Submission","Google","No","0",1,1403,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"3898","622642","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3899","622641","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"3900","622634","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3901","622631","Landing Page Submission","Google","No","1",5,1761,5,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"3902","622630","API","Referral Sites","No","0",3,536,3,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3903","622617","Landing Page Submission","Direct Traffic","No","0",4,234,4,"Email Link Clicked","Unemployed","Thane & Outskirts","Yes","Email Link Clicked","3"
"3904","622608","Landing Page Submission","Google","No","1",4,1266,4,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"3905","622595","API","Google","No","0",3,1272,3,"Converted to Lead","Unemployed","Thane & Outskirts","No","Modified","0"
"3906","622584","Landing Page Submission","Direct Traffic","No","0",1,36,1,"Converted to Lead","Unemployed","Mumbai","Yes","Modified","3"
"3907","622576","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3908","622575","Landing Page Submission","Direct Traffic","No","1",4,116,4,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","3"
"3909","622566","API","Organic Search","No","0",18,91,3.6,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","2"
"3910","622564","Landing Page Submission","Direct Traffic","No","1",3,1277,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3911","622545","Landing Page Submission","Google","No","0",4,475,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3912","622543","Landing Page Submission","Organic Search","No","1",3,1625,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3913","622534","API","Google","No","1",2,727,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3914","622529","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"3915","622517","Landing Page Submission","Organic Search","No","1",6,1073,2,"SMS Sent","Unemployed","Other Metro Cities","Yes","SMS Sent","3"
"3916","622513","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3917","622512","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3918","622505","Landing Page Submission","Google","No","1",3,1399,3,"SMS Sent","Unemployed","Thane & Outskirts","No","SMS Sent","4"
"3919","622495","Landing Page Submission","Google","No","1",4,1136,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3920","622493","Lead Add Form","Welingak Website","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3921","622488","API","Google","Yes","0",4,420,1,"Email Bounced","Unemployed","Mumbai","No","Modified","0"
"3922","622478","Landing Page Submission","Direct Traffic","No","1",5,1320,5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","3"
"3923","622472","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3924","622460","Landing Page Submission","Google","No","1",6,1069,6,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3925","622433","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3926","622423","Landing Page Submission","Google","No","0",8,221,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3927","622413","Landing Page Submission","Direct Traffic","No","1",2,1520,2,"SMS Sent","Working Professional","Mumbai","Yes","SMS Sent","3"
"3928","622410","Landing Page Submission","Google","No","0",2,694,1,"Unreachable","Unemployed","Mumbai","Yes","Modified","3"
"3929","622403","Lead Add Form","Reference","Yes","0",0,44,0,"Email Bounced","Unemployed","Mumbai","No","Modified","2"
"3930","622400","Landing Page Submission","Google","No","1",3,1137,1.5,"SMS Sent","Unemployed","Other Metro Cities","No","SMS Sent","4"
"3931","622395","Landing Page Submission","Google","No","0",4,74,4,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"3932","622385","API","Organic Search","No","0",1,299,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"3933","622372","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3934","622371","Landing Page Submission","Direct Traffic","No","1",2,1284,2,"Email Opened","Unemployed","Other Metro Cities","Yes","Modified","1"
"3935","622366","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"3936","622363","API","Google","No","1",2,145,1,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3937","622357","Landing Page Submission","Direct Traffic","No","1",3,1218,1.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3938","622344","Landing Page Submission","Direct Traffic","No","1",2,1439,2,"Email Opened","Working Professional","Thane & Outskirts","Yes","Email Opened","3"
"3939","622325","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"3940","622322","Landing Page Submission","Direct Traffic","No","0",3,4,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3941","622305","API","Google","No","0",3,1054,3,"Email Opened","Unemployed","Mumbai","No","Modified","4"
"3942","622296","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3943","622295","API","Google","No","1",4,734,4,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3944","622288","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3945","622285","API","Google","No","1",2,957,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","3"
"3946","622280","Lead Add Form","Reference","Yes","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3947","622276","API","Google","No","1",5,1224,1.67,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"3948","622275","API","Google","No","0",4,127,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3949","622240","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3950","622227","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3951","622218","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3952","622214","Landing Page Submission","Direct Traffic","No","1",7,543,3.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3953","622204","Landing Page Submission","Direct Traffic","No","1",6,1081,3,"SMS Sent","Unemployed","Thane & Outskirts","Yes","SMS Sent","3"
"3954","622189","API","Organic Search","No","1",5,277,2.5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3955","622180","Landing Page Submission","Direct Traffic","Yes","0",3,227,1.5,"Page Visited on Website","Unemployed","Mumbai","Yes","Page Visited on Website","3"
"3956","622177","Landing Page Submission","Direct Traffic","Yes","0",1,555,1,"Email Bounced","Unemployed","Mumbai","Yes","Modified","1"
"3957","622172","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3958","622158","Landing Page Submission","Direct Traffic","No","1",3,1563,3,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","1"
"3959","622145","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3960","622143","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3961","622142","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3962","622118","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3963","622101","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Other Metro Cities","No","Olark Chat Conversation","0"
"3964","622097","API","Olark Chat","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3965","622093","Landing Page Submission","Google","No","1",4,1179,2,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"3966","622090","Landing Page Submission","Google","No","0",14,1602,7,"Page Visited on Website","Unemployed","Mumbai","No","Modified","4"
"3967","622089","API","Google","No","1",3,633,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3968","622084","API","Google","Yes","0",2,385,2,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","0"
"3969","622076","API","Google","No","0",2,253,1,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","0"
"3970","622072","Landing Page Submission","Direct Traffic","No","1",11,746,2.75,"SMS Sent","Working Professional","Mumbai","Yes","SMS Sent","4"
"3971","622056","Landing Page Submission","Google","No","0",5,448,2.5,"Page Visited on Website","Unemployed","Mumbai","No","Modified","2"
"3972","622052","Landing Page Submission","Organic Search","No","1",10,1672,10,"SMS Sent","Unemployed","Other Cities","Yes","SMS Sent","1"
"3973","622036","Landing Page Submission","Direct Traffic","No","0",5,458,2.5,"Email Opened","Unemployed","Mumbai","No","Modified","4"
"3974","621999","Landing Page Submission","Organic Search","No","0",6,589,2,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","1"
"3975","621998","Landing Page Submission","Organic Search","No","0",6,208,6,"Page Visited on Website","Unemployed","Thane & Outskirts","Yes","Modified","3"
"3976","621993","Landing Page Submission","Direct Traffic","Yes","0",2,111,2,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","3"
"3977","621978","Landing Page Submission","Direct Traffic","No","1",10,1450,5,"SMS Sent","Unemployed","Other Cities of Maharashtra","Yes","SMS Sent","3"
"3978","621976","API","Google","No","1",7,241,7,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3979","621941","Landing Page Submission","Direct Traffic","No","1",2,367,2,"SMS Sent","Unemployed","Other Cities","No","SMS Sent","2"
"3980","621922","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities","No","Modified","0"
"3981","621899","Landing Page Submission","Direct Traffic","No","0",4,283,4,"SMS Sent","Unemployed","Thane & Outskirts","No","Modified","0"
"3982","621884","Landing Page Submission","Direct Traffic","No","1",9,40,3,"Form Submitted on Website","Unemployed","Mumbai","Yes","Modified","3"
"3983","621870","Landing Page Submission","Google","No","0",1,81,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"3984","621856","Landing Page Submission","Direct Traffic","No","1",10,1523,2.5,"Email Opened","Working Professional","Other Cities","Yes","Email Opened","3"
"3985","621837","Landing Page Submission","Organic Search","No","0",21,230,5.25,"Page Visited on Website","Unemployed","Mumbai","Yes","Page Visited on Website","1"
"3986","621812","Landing Page Submission","Google","No","0",3,127,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3987","621770","API","Organic Search","No","0",5,154,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3988","621766","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3989","621746","API","Organic Search","No","0",3,206,1.5,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"3990","621743","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3991","621739","Landing Page Submission","Organic Search","No","0",3,402,1.5,"Had a Phone Conversation","Unemployed","Mumbai","Yes","Modified","3"
"3992","621735","API","Olark Chat","No","0",2,8,1,"Email Opened","Unemployed","Other Cities","No","Email Opened","4"
"3993","621733","Landing Page Submission","Direct Traffic","No","0",2,201,2,"Email Opened","Unemployed","Other Metro Cities","Yes","Email Opened","1"
"3994","621704","API","Google","No","0",7,1514,3.5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3995","621698","Landing Page Submission","Direct Traffic","No","0",1,961,1,"Converted to Lead","Unemployed","Other Cities of Maharashtra","Yes","Modified","3"
"3996","621676","Landing Page Submission","Direct Traffic","No","0",2,739,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3997","621675","Landing Page Submission","Google","No","0",7,1061,7,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","4"
"3998","621671","Landing Page Submission","Direct Traffic","No","0",3,1231,3,"Page Visited on Website","Other","Mumbai","No","Modified","4"
"3999","621650","Landing Page Submission","Direct Traffic","No","1",5,696,5,"Email Opened","Unemployed","Mumbai","Yes","Modified","1"
"4000","621641","Landing Page Submission","Direct Traffic","Yes","0",3,146,3,"Email Bounced","Unemployed","Mumbai","Yes","Email Bounced","3"
"4001","621638","Landing Page Submission","Google","No","0",3,757,3,"Converted to Lead","Unemployed","Mumbai","No","Modified","4"
"4002","621601","API","Olark Chat","No","0",2,319,1,"Form Submitted on Website","Unemployed","Mumbai","Yes","Modified","3"
"4003","621583","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","3"
"4004","621566","Landing Page Submission","Google","No","1",6,1424,6,"SMS Sent","Unemployed","Other Cities","No","SMS Sent","2"
"4005","621560","Lead Add Form","Welingak Website","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4006","621555","Landing Page Submission","Direct Traffic","No","1",5,1665,5,"Email Opened","Working Professional","Tier II Cities","Yes","Email Opened","3"
"4007","621553","API","Google","No","1",2,1020,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4008","621535","Landing Page Submission","Google","No","0",3,405,3,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"4009","621532","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","3"
"4010","621514","Landing Page Submission","Direct Traffic","No","1",5,1087,5,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","4"
"4011","621499","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"4012","621492","Landing Page Submission","Google","No","0",4,42,4,"Olark Chat Conversation","Unemployed","Other Cities","No","Modified","4"
"4013","621487","Landing Page Submission","Direct Traffic","No","1",3,1029,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"4014","621477","Lead Add Form","Welingak Website","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"4015","621471","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4016","621464","Landing Page Submission","Google","No","0",3,105,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"4017","621452","Landing Page Submission","Direct Traffic","No","1",8,1282,1.14,"Email Link Clicked","Unemployed","Thane & Outskirts","Yes","Email Link Clicked","3"
"4018","621451","API","Google","No","1",2,1387,1,"Olark Chat Conversation","Unemployed","Other Cities","No","Olark Chat Conversation","2"
"4019","621437","Landing Page Submission","Direct Traffic","No","1",13,1659,4.33,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"4020","621410","Landing Page Submission","Direct Traffic","No","0",2,80,2,"Page Visited on Website","Unemployed","Mumbai","No","Modified","0"
"4021","621397","Landing Page Submission","Direct Traffic","No","0",3,458,1.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"4022","621393","Landing Page Submission","Google","No","1",12,228,2.4,"Email Opened","Unemployed","Tier II Cities","No","Modified","2"
"4023","621386","Landing Page Submission","Organic Search","No","1",5,332,2.5,"SMS Sent","Unemployed","Other Metro Cities","No","SMS Sent","3"
"4024","621381","Landing Page Submission","Google","No","1",10,1192,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4025","621368","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"4026","621360","Landing Page Submission","Direct Traffic","No","1",3,1562,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"4027","621353","API","Google","Yes","1",3,170,1.5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"4028","621352","Landing Page Submission","Direct Traffic","No","1",3,950,3,"Email Opened","Unemployed","Mumbai","Yes","Modified","3"
"4029","621344","API","Direct Traffic","No","1",3,1270,3,"SMS Sent","Working Professional","Other Cities","No","SMS Sent","2"
"4030","621337","API","Olark Chat","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"4031","621327","Landing Page Submission","Google","No","1",4,1337,4,"Had a Phone Conversation","Unemployed","Mumbai","No","Had a Phone Conversation","4"
"4032","621319","Landing Page Submission","Direct Traffic","No","1",2,575,2,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","3"
"4033","621318","Landing Page Submission","Direct Traffic","No","1",6,1218,3,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"4034","621310","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4035","621284","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"4036","621280","Landing Page Submission","Google","Yes","0",6,652,3,"Unsubscribed","Unemployed","Mumbai","No","Unsubscribed","3"
"4037","621277","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4038","621270","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"4039","621269","Landing Page Submission","Google","No","1",5,1673,5,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","3"
"4040","621264","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","0"
